<bound method Module.state_dict of NormalizedCrossEntropyLoss_REVISED(
  (reduction): SimpleCNN(
    (conv_layers): Sequential(
      (0): Conv2d(3, 32, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
      (1): BatchNorm2d(32, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (2): ReLU()
      (3): Conv2d(32, 32, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
      (4): BatchNorm2d(32, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (5): ReLU()
      (6): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
      (7): Conv2d(32, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
      (8): BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (9): ReLU()
      (10): Conv2d(64, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
      (11): BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (12): ReLU()
      (13): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
      (14): Conv2d(64, 128, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
      (15): BatchNorm2d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (16): ReLU()
      (17): Conv2d(128, 128, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
      (18): BatchNorm2d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (19): ReLU()
      (20): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
    )
    (fc_layers): Sequential(
      (0): Flatten(start_dim=1, end_dim=-1)
      (1): Linear(in_features=2048, out_features=256, bias=True)
      (2): ReLU()
      (3): Dropout(p=0.5, inplace=False)
      (4): Linear(in_features=256, out_features=10, bias=True)
    )
  )
  (cross_entropy): CrossEntropyLoss()
)>

<bound method Optimizer.state_dict of SGD (
Parameter Group 0
    dampening: 0
    differentiable: False
    foreach: None
    fused: None
    initial_lr: 0.01
    lr: 0.00125
    maximize: False
    momentum: 0.9
    nesterov: False
    weight_decay: 0.0005
)>

{'step_size': 15, 'gamma': 0.5, 'base_lrs': [0.01], 'last_epoch': 50, 'verbose': False, '_step_count': 51, '_get_lr_called_within_step': False, '_last_lr': [0.00125]}


Key Info: Transforms: HOR_FLIP ROT_10 NORM | Loss: NormalizedCrossEntropy_REVISED | Optimizer(SGD): LR_0.01 MOMENTUM_0.9 W_DECAY_5e-4 | Scheduler: STEP_15 GAMMA_0.5


Epoch 0 | Train Accuracy: 0.2857 | Train Loss: 0.9414 | Test Loss: 0.8261 | Test Accuracy: 0.4770
Epoch 1 | Train Accuracy: 0.3758 | Train Loss: 0.9020 | Test Loss: 0.7903 | Test Accuracy: 0.5476
Epoch 2 | Train Accuracy: 0.4168 | Train Loss: 0.8845 | Test Loss: 0.7807 | Test Accuracy: 0.5434
Epoch 3 | Train Accuracy: 0.4481 | Train Loss: 0.8687 | Test Loss: 0.7465 | Test Accuracy: 0.6293
Epoch 4 | Train Accuracy: 0.4712 | Train Loss: 0.8583 | Test Loss: 0.7471 | Test Accuracy: 0.6225
Epoch 5 | Train Accuracy: 0.4917 | Train Loss: 0.8473 | Test Loss: 0.7321 | Test Accuracy: 0.6488
Epoch 6 | Train Accuracy: 0.5064 | Train Loss: 0.8420 | Test Loss: 0.7161 | Test Accuracy: 0.6547
Epoch 7 | Train Accuracy: 0.5207 | Train Loss: 0.8339 | Test Loss: 0.7200 | Test Accuracy: 0.6775
Epoch 8 | Train Accuracy: 0.5253 | Train Loss: 0.8302 | Test Loss: 0.7045 | Test Accuracy: 0.6972
Epoch 9 | Train Accuracy: 0.5335 | Train Loss: 0.8259 | Test Loss: 0.6907 | Test Accuracy: 0.7013
Epoch 10 | Train Accuracy: 0.5421 | Train Loss: 0.8217 | Test Loss: 0.6817 | Test Accuracy: 0.7125
Epoch 11 | Train Accuracy: 0.5475 | Train Loss: 0.8161 | Test Loss: 0.6732 | Test Accuracy: 0.7284
Epoch 12 | Train Accuracy: 0.5534 | Train Loss: 0.8120 | Test Loss: 0.6723 | Test Accuracy: 0.7183
Epoch 13 | Train Accuracy: 0.5577 | Train Loss: 0.8103 | Test Loss: 0.6782 | Test Accuracy: 0.7073
Epoch 14 | Train Accuracy: 0.5636 | Train Loss: 0.8073 | Test Loss: 0.6861 | Test Accuracy: 0.6905
Epoch 15 | Train Accuracy: 0.5731 | Train Loss: 0.8001 | Test Loss: 0.6593 | Test Accuracy: 0.7461
Epoch 16 | Train Accuracy: 0.5814 | Train Loss: 0.7938 | Test Loss: 0.6402 | Test Accuracy: 0.7437
Epoch 17 | Train Accuracy: 0.5888 | Train Loss: 0.7897 | Test Loss: 0.6480 | Test Accuracy: 0.7489
Epoch 18 | Train Accuracy: 0.5910 | Train Loss: 0.7884 | Test Loss: 0.6343 | Test Accuracy: 0.7558
Epoch 19 | Train Accuracy: 0.5918 | Train Loss: 0.7865 | Test Loss: 0.6541 | Test Accuracy: 0.7534
Epoch 20 | Train Accuracy: 0.5932 | Train Loss: 0.7850 | Test Loss: 0.6373 | Test Accuracy: 0.7594
Epoch 21 | Train Accuracy: 0.5968 | Train Loss: 0.7820 | Test Loss: 0.6333 | Test Accuracy: 0.7657
